Extroversion,Text Recipients,Sleep Hours,Handedness,Sleep Position,Piercings
7,5,6,Right-handed,On your right side,0
7,10,7,Ambidextrous,On your right side,2
3,7,9,Left-handed,On your left side,0
7,7,8,Right-handed,On your back,2
7,15,8,Right-handed,On your right side,0
5,5,7,Right-handed,On your right side,0
4,4,7,Right-handed,On your right side,0
4,4,5,Right-handed,On your back,0
5,5,8,Right-handed,On your right side,0
7,10,4,Right-handed,On your right side,1
2,5,6,Left-handed,On your right side,2
4,5,7,Left-handed,On your stomach,2
3,10,7,Right-handed,On your back,0
7,10,8,Left-handed,On your right side,0
5,5,7,Right-handed,On your back,0
3,3,8,Right-handed,On your back,0
6,4,3,Left-handed,On your left side,0
4,3,7,Right-handed,On your right side,0
7,10,8,Right-handed,On your right side,2
5,4,7,Right-handed,On your left side,1
5,5,7,Right-handed,On your left side,3
6,7,6,Right-handed,On your right side,3
8,6,6,Right-handed,On your right side,0
7,9,7,Right-handed,On your left side,2
6,10,7,Right-handed,On your stomach,2
6,3,8,Right-handed,On your right side,4
3,3,6,Right-handed,On your back,0
3,4,8,Right-handed,On your left side,0
4,2,8,Right-handed,On your left side,0
4,3,7,Right-handed,On your right side,2
1,10,7,Right-handed,On your right side,2
3,5,7,Right-handed,On your left side,0
8,15,8,Right-handed,On your right side,0
6,8,7,Right-handed,On your left side,3
6,7,8,Right-handed,On your stomach,0
4,8,7,Right-handed,On your stomach,1
5,5,7,Right-handed,On your left side,0
8,5,7,Right-handed,On your back,0
4,5,8,Right-handed,On your right side,0
7,5,6,Right-handed,On your right side,2
8,5,8,Right-handed,On your left side,2
6,6,7,Right-handed,On your right side,2
3,2,8,Right-handed,On your right side,0
2,2,7,Right-handed,On your right side,0
3,3,7,Right-handed,On your back,0
3,1,6.5,Ambidextrous,On your right side,0
7,8,8,Left-handed,On your right side,2
7,4,6,Right-handed,On your back,0
6,5,7,Left-handed,On your back,0
8,6,7,Right-handed,On your right side,1
8,30,7,Left-handed,On your back,0
8,7,7,Left-handed,On your left side,0
6,6,7,Right-handed,On your back,1
6,1,7,Right-handed,On your stomach,0
4,2,7,Right-handed,On your right side,4
7,4,6,Right-handed,On your back,0
8,5,7,Right-handed,On your right side,2
5,2,8,Right-handed,On your back,0
6,15,7.5,Right-handed,On your back,0
7,8,7.5,Right-handed,On your right side,0
7,8,7,Right-handed,On your right side,2
8,10,11,Left-handed,On your stomach,8
4,4,9,Left-handed,On your back,0
5,5,6,Right-handed,On your left side,2
4,7,7,Right-handed,On your back,0
3,3,7,Right-handed,On your back,0
7,3,7,Right-handed,On your stomach,0
8,4,7,Right-handed,On your left side,6
5,4,7,Right-handed,On your left side,2
6,10,7,Right-handed,On your right side,0
7,8,7,Left-handed,On your left side,2
6,3,7,Right-handed,On your back,0
8,10,6.5,Right-handed,On your right side,0
8,10,7,Right-handed,On your right side,1
7,10,7,Right-handed,On your right side,2
7,15,7,Right-handed,On your left side,2
5,5,7,Right-handed,On your back,0
3,6,6.5,Right-handed,On your left side,0
7,10,7.5,Right-handed,On your back,2
4,3,8,Left-handed,On your left side,0
3,5,8,Right-handed,On your stomach,0
3,1,7,Right-handed,On your back,11
7,15,7,Right-handed,On your left side,2
5,4,7,Right-handed,On your back,0
7,5,7,Right-handed,On your left side,0
6,18,6,Right-handed,On your left side,0
5,10,7,Right-handed,On your back,0
3,3,8,Right-handed,On your back,0
6,10,7,Right-handed,On your right side,0
5,5,7.5,Right-handed,On your right side,0
4,5,8,Right-handed,On your right side,0
5,3,6,Right-handed,On your back,4
3,4,7,Right-handed,On your right side,0
5,3,6,Right-handed,On your back,4
7,8,8,Right-handed,On your right side,0
6,2,8,Right-handed,On your back,2
8,10,7,Right-handed,On your stomach,2
4,8,7,Right-handed,On your back,0
5,5,8,Right-handed,On your right side,0
6,6,8,Right-handed,On your left side,0
7,5,8,Right-handed,On your right side,0
3,8,8,Right-handed,On your stomach,0
6,8,7,Right-handed,On your left side,0
3,6,8,Left-handed,On your left side,0
4,6,8,Right-handed,On your back,15
6,5,7,Right-handed,On your back,0
2,3,7,Right-handed,On your left side,2
7,6,6,Left-handed,On your right side,5
7,4,6.5,Left-handed,On your right side,4
4,7,8,Right-handed,On your right side,5
7,15,8,Right-handed,On your left side,0
7,5,7,Right-handed,On your right side,2
5,20,8,Right-handed,On your back,4
2,3,5,Right-handed,On your left side,0
8,10,7,Right-handed,On your left side,0
4,2,7,Right-handed,On your right side,7
2,15,6,Right-handed,On your right side,0
4,5,8,Right-handed,On your right side,0
8,15,7,Right-handed,On your back,0
9,20,7,Left-handed,On your left side,0
8,20,7,Left-handed,On your right side,4
4,5,9,Right-handed,On your back,2
3,5,6,Right-handed,On your right side,0
4,30,6.5,Right-handed,On your stomach,0
8,8,8,Right-handed,On your back,1
3,2,7,Right-handed,On your right side,0
2,4,7,Right-handed,On your back,0
5,8,7,Right-handed,On your back,2
4,4,6,Right-handed,On your right side,0
9,10,7,Left-handed,On your left side,0
4,3,6,Right-handed,On your back,0
8,10,7,Right-handed,On your left side,1
5,4,6,Right-handed,On your back,6
3,4,7,Right-handed,On your left side,0
10,10,7,Right-handed,On your stomach,0
4,5,8,Right-handed,On your left side,0
7,6,6,Right-handed,On your back,1
3,6,7,Right-handed,On your right side,2
7,10,7,Right-handed,On your right side,0
8,5,7,Right-handed,On your back,0
7,10,7,Right-handed,On your back,0
5,5,8,Right-handed,On your stomach,0
3,7,5,Right-handed,On your back,1
7,10,7,Right-handed,On your right side,2
5,7,7,Left-handed,On your left side,0
7,5,7,Right-handed,On your stomach,0
4,8,7,Left-handed,On your stomach,0
1,4,8,Right-handed,On your back,0
3,15,6,Right-handed,On your stomach,6
9,15,8,Right-handed,On your stomach,2
6,4,7,Right-handed,On your right side,0
4,7,7,Right-handed,On your left side,0
5,5,8,Right-handed,On your back,0
10,11,4,Right-handed,On your left side,2
8,30,8,Right-handed,On your left side,0
5,25,7,Right-handed,On your left side,0
3,4,7,Right-handed,On your left side,0
3,5,7.5,Right-handed,On your back,2
5,6,8,Left-handed,On your left side,0
5,5,6,Right-handed,On your left side,0
4,2,8,Right-handed,On your back,0
5,3,7,Right-handed,On your stomach,0
3,5,6,Right-handed,On your left side,0
6,3,9,Right-handed,On your right side,0
3,7,6,Right-handed,On your right side,0
5,5,7,Right-handed,On your right side,0
7,5,7,Right-handed,On your stomach,0
4,9,8,Right-handed,On your back,0
7,5,7,Right-handed,On your back,0
6,5,7,Right-handed,On your left side,0
